"group"	"V1"	"V2"	"V3"	"V4"	"V5"	"_file"	"SHEET_ID"
"A"	10.1949758843984	9.1580917078536	13.4799911181908	2.56476401048712	1.51666269707493	1	"sheet1"
"A"	6.86681165383197	13.6562076082919	17.5733782348689	14.3907322415616	6.6561107239686	1	"sheet1"
"A"	5.89141537831165	8.40905562229455	19.6667848322541	18.1774216727354	7.03332667890936	1	"sheet1"
"A"	1.50084051350132	13.5537678040564	16.5305628324859	17.9150674052071	12.486013431102	1	"sheet1"
"A"	8.8092865741346	12.7714300521184	3.03272369643673	11.4237227963749	8.93324388959445	1	"sheet1"
"A"	12.5622178178746	14.8654690866824	19.1656860716175	3.38262956449762	5.83554790588096	1	"sheet1"
"A"	17.8194623356685	6.33082773396745	8.33503576554358	12.5810185649898	16.6201014677063	1	"sheet1"
"A"	8.06061953376047	19.9324683586601	9.09836464910768	7.49394607590511	9.99819680955261	1	"sheet1"
"A"	18.2854746859521	12.4157600931358	18.8687523105182	14.5983449865598	9.97318642144091	1	"sheet1"
"A"	16.8371476451866	4.86991744372062	8.1681281873025	3.8017084475141	6.88812541449443	1	"sheet1"
"A"	12.6416522513609	8.15922403382137	15.0301029470284	4.23821502411738	10.6632020147517	1	"sheet1"
"A"	10.6510455762036	16.9771318237763	4.75090896477923	7.33802009024657	16.7320580927189	1	"sheet1"
"A"	6.89309958158992	1.25429145549424	6.14918646146543	15.9640962262638	19.7571186732966	1	"sheet1"
"A"	4.45316614257172	10.5888431016356	1.62685136636719	4.59065135312267	16.9915838027373	1	"sheet1"
"A"	15.0095771593042	17.1427845032886	2.37612931337208	5.36600040947087	2.89853663230315	1	"sheet1"
"A"	3.22331425384618	11.2667496483773	11.7720602788031	5.2940270784311	12.3693842126522	1	"sheet1"
"A"	9.52668801601976	10.0374172576703	4.48789229337126	16.0044368291274	18.2909546904266	1	"sheet1"
"A"	9.4257081837859	18.5003075168934	14.7839899102692	11.3452318052296	13.1558555201627	1	"sheet1"
"A"	5.73693364695646	1.05739390733652	15.2089404971339	9.99489982658997	7.6177563094534	1	"sheet1"
"A"	2.24716066662222	19.5386345188599	14.3196845604107	2.00660999631509	9.51405603857711	1	"sheet1"
"A"	12.7746057349723	14.2028347721789	2.41160761774518	8.48268655780703	18.3870367587078	1	"sheet1"
"A"	11.0057042585686	13.4146461125929	13.0156778807286	5.65215721330605	12.8828930051532	1	"sheet1"
"A"	14.5411133214366	12.0271735491697	6.77678558416665	15.0953791805077	7.74922244227491	1	"sheet1"
"A"	16.8557852343656	9.77657492388971	13.6911929440685	2.13933553127572	11.5022585119586	1	"sheet1"
"A"	10.1507513865363	16.380676884437	9.98077507922426	17.1176089444198	1.17814434343018	1	"sheet1"
